key,0,1,2
8,[第8期],穿行威隧道開通,貫穿西南部環形山的穿行威隧道現已開通！<hex:02100103><hex:02100103>這座環形山名為閃亮山，山體由非常堅硬的水晶層與較為柔軟的岩石層混合組成，此次隧道建設對於我們來說是一次檢驗技術實力的絕佳機會。<hex:02100103>為此我們和薩雷安的研究者共同設計了新的盾構法，促成了隧道的順利完工。<hex:02100103>想必本次施工的經驗也能靈活運用到未來的外星探索之中！
9,[第9期],宇宙飛線向隧道內部區域延伸,宇宙飛線目前已經通到了憧憬灣西南部的穿行威隧道內部區域！<hex:02100103><hex:02100103>在穿行威隧道內部，不但有可能採掘到特殊礦物，我們還發現了過去墜落的古代亞拉戈文明的遺物。如果能有效利用這些資源，宇宙探索計劃應該能取得進一步發展。
10,[第10期],進一步擴建月門基地,真是令人感嘆，我似乎看到一座新的城市正在這月面之上拔地而起。在各位的幫助下，月門基地新一輪的擴建已經完成！<hex:02100103><hex:02100103>在本次擴建中，為了使分散配置的各類設施能更有效率地配合，我們進一步整建了道路、隔離牆以及管線等設施。<hex:02100103>除了改善居住環境以外，我們還對備用物資的供給處進行了改建，歡迎各位協助者們繼續光臨。<hex:02100103><hex:02100103>不過目前仍然存在一些問題，我們會繼續擴充這座基地的設施！
11,[第11期],能源與水利設施竣工,在各位的幫助下，新的發電站與供水站建設完成了！<hex:02100103><hex:02100103>電力對宇宙飛船而言是不可或缺的，因此能夠產生龐大電力的發電站對宇宙探索計劃來說有著極為重要的意義。<hex:02100103>另外，淨水設施能利用中控水晶的力量淨化從魔泉汲取的水，提高了獲取飲用水的便捷性。<hex:02100103>能源和水——這兩處設施的建立為我們架起了生命線！
12,[第12期],擴建機甲庫和宇宙港,機甲庫和宇宙港的建設終於完工了！<hex:02100103><hex:02100103>兩處設施現在均經由地下雷線直連發電站，針對機甲和宇宙飛船的能源供給體系也已完備。<hex:02100103>另一方面，為了應對發電站發生故障的情況，在機甲庫和宇宙港都配有小型輔助發電設備，作為備用能源。<hex:02100103>居安思危，時常為最壞的情況做好準備是非常重要的！
13,[第13期],開通月底升降梯,為了前往憧憬灣東北部地裂之下的巨大空間，我們開通了月底升降梯！<hex:02100103><hex:02100103>這片空間是由無人機調查發現的，為了給外星探索積累經驗，我們決定在這裡開路並開採資源。<hex:02100103>我們靈活運用挖掘隧道時積累的經驗，建造了能夠搭載重型機械的升降梯，這一成功讓我們士氣大振。<hex:02100103><hex:02100103>另外，成功探索月底一帶後，我們就探索過憧憬灣的所有區域了。<hex:02100103>今後我們仍會步履不停，繼續推進宇宙探索計劃！
14,[第14期],宇宙飛線向月底延伸,宇宙飛線目前已經通到了憧憬灣東北部的月底區域！<hex:02100103>現在我們能通過宇宙飛線往來於憧憬灣全域了！<hex:02100103><hex:02100103>雖然施工的過程困難重重，但我們終於能夠便捷地移動到魔泉瀑布和生長著大量菌類的小洞窟了，這算是巨大的收穫。<hex:02100103>這些成功的經驗將來在探索外星的過程中一定能派上用場。讓我們今後繼續通力合作吧！
15,[第15期],月上跳跳城竣工,在月門基地的中央張開了一個巨大的圓形穹頂，宛如月面之上升起了另一輪明月，令人嘆為觀止！<hex:02100103><hex:02100103>它的名字是「月上跳跳城」！<hex:02100103>我們聚集在穹頂之下，渴望著從月面起跳，前往光輝燦爛的星河……這就是月上跳跳城名字的由來。<hex:02100103><hex:02100103>在設計方面，我們採用了圓形的穹頂覆蓋住這座城市，這樣既能減輕隕石擊中中控水晶的風險，也能為大家提供安心的生活保障。<hex:02100103>希望研究員們和兔兔族在四處奔忙之餘，在這裡隨意小憩、放鬆身心。<hex:02100103>這座憧憬灣中央設施的完工，同時也意味著我們在月面之上的探索告一段落。<hex:02100103>這段時間我們獲得了許多人的鼎力相助，我在此鄭重地向大家表示感謝！
16,[第16期],對未知群星的憧憬從月球啟航,目前計劃中的全部設施均已建設完成，準備就緒的新飛船正在宇宙港裡蓄勢待發！<hex:02100103><hex:02100103>回首那些日日夜夜，我們不辭辛勞、揮汗如雨。<hex:02100103>當查明威主任和各位人類不經意間仰望黑暗深邃的太空，眼中映入群星的光輝之時……在一賞此番美景的瞬間，我在日誌中所寫下的種種艱難困苦便成為了過去。<hex:02100103><hex:02100103>好了，是時候飛向群星，展開新的探索之旅了！<hex:02100103>本人衷心期待著今後繼續為宇宙探索的軌跡記錄新的篇章！
17,[第1期],佩恩納星球探索計劃，開始！,接下來，我，報道，將繼續執筆，記錄下在佩恩納星球上走過的每一步。<hex:02100103>各位讀者，這次也請多多指教了！<hex:02100103><hex:02100103>那麼，我們的宇宙飛船銀河號終於從月球出發，經過宙脈跳躍，進入了「佩恩納星球」。<hex:02100103>之所以選擇這裡作為第一個目的地，是因為我們確認了這裡蘊藏著豐富的硅系資源，而且它獨特的環境也激發了我們激動人心的探索慾望！<hex:02100103><hex:02100103>在前遣隊的努力下，我們在焦熱海灣進行了設營演習的設備在這裡展開，並開始作為「玻璃工坊基地」運營。<hex:02100103>由於還需要進一步搬運物資，目前功能還很有限，但我們計劃從這裡開始，與各位合作者齊心協力，推進基地的充實和探索！
18,[第2期],玻璃工坊基地的充實,充分利用銀河號宇宙飛船，從月球搬運物資的工作進展得很順利！<hex:02100103>在大家的協助下，玻璃工坊基地的設備也日漸充實了。<hex:02100103><hex:02100103>這座基地最大的特點是，為了在降下玻璃雨和玻璃塵的佩恩納星球環境下進行設營，我們選擇了巨大的岩窟內部。<hex:02100103>然而，被岩石屋頂覆蓋的空間是有限的，因此，今後設施的配置必須有計劃地進行！<hex:02100103>幸運的是，技術人員們正在熱火朝天地進行規劃，我相信基地一定會變得非常出色。
19,[第3期],宇宙飛船的展開,在這顆佩恩納星球上，宇宙飛船的鋪設也開始了！<hex:02100103>原本，宇宙飛船就是為了在外星環境中穩定運行而開發的，因為那裡的地脈和風脈流向都不可靠。<hex:02100103>現在，它終於要在實際環境中亮相了！<hex:02100103><hex:02100103>尤其渴望它完工的是那些隸屬於計劃機構的研究人員和技術人員……<hex:02100103>和各位冒險者合作者不同，他們大都對自己的體力沒有自信。<hex:02100103>因此，能夠將所有人安全、快速地送達目的地的宇宙飛船，對於高效推進探索計劃至關重要！<hex:02100103>我們先從基地周邊開始整備，以便更好地探索這一帶。
20,[第4期],居住模組的竣工,佩恩納星球上的「居住模組」已經竣工了！<hex:02100103>與焦熱海灣的展開相比，這次的設計更加註重居住性和舒適性，例如公共空間的面積更大等。<hex:02100103><hex:02100103>這是因為，作為本次探索計劃原型的方舟計劃，其核心思想就是讓亞伊太利斯居民進行長期的星外生活……因此，為了讓大家盡可能地放鬆，我們加入了各種各樣的巧思。<hex:02100103><hex:02100103>不過，我與項目經理姆姆科先生商量後，決定將它設計得比方舟計劃中的版本更緊湊一些，因為那些研究人員和技術人員常常說，只要能有個睡覺的地方就夠了！
21,[第5期],基礎建設相關設備的竣工,適應了佩恩納星球環境的發雷站和供水站竣工了！<hex:02100103><hex:02100103>這顆星球的大部分水源，其硅含量都非常高，並不適合作為生活用水。<hex:02100103>因此，依靠「淨水站」進行淨化是必不可少的！<hex:02100103>負責雷電能量的「能量站」也將繼續為整個探索計劃提供能量。<hex:02100103>好，隨著這兩座設施的啟動，讓我們在這顆星球上的探索進一步加速吧！
22,[第6期],漫遊車機庫的功能強化,各式各樣的漫遊車，在這顆佩恩納星球上依然大顯身手。<hex:02100103>雖然這是件令人高興的事，但反過來想，一旦有一台因事故報廢，就會對計劃造成不可避免的負面影響！<hex:02100103><hex:02100103>因此，漫遊車機庫被設定在了一個既方便進出，又受到天花板和岩壁保護的隧道口。<hex:02100103>這次我們把它改造成了集裝箱式，安全性也大大提高，可以確保穩定運行了！
23,[第7期],宇宙飛船延伸至對岸區域,跨過蘇打石灰漂流的對岸，也就是西部到南部一帶的區域，宇宙飛船已經延伸到了那裡！<hex:02100103><hex:02100103>這一帶似乎是河流侵蝕形成的溪谷，地形非常複雜，物資和人員的移動都相當困難。<hex:02100103>因此我們急於鋪設宇宙飛船，但佩恩納星球特有的玻璃質大地，在某些地方無法承受設施和重機的重量，特別是地點的選擇花費了大量時間。<hex:02100103>在技術人員們進行了周密的地基調查後，這次的延伸才終於成功！
24,[第8期],應用起重機的竣工,深淵巨洞膠囊深淵，是蘇打石灰漂流注入的瀑布下方的一個大空洞，它的底部似乎是由許多巨大的玻璃球堆疊而成的。與地表隔絕的環境中，一定隱藏著許多令人興奮的未知！<hex:02100103>為了探索它的深處，我們開發了「應用起重機」！<hex:02100103><hex:02100103>所謂「應用」，是一種將另外製作的零件加熱並黏合到本體上的玻璃工藝技術。<hex:02100103>受此啟發，我們在巨洞外圍的堅固地基上安裝了起重機，並以此為立足點，向底部搭建了腳手架。<hex:02100103><hex:02100103>在延伸宇宙飛船過程中磨練出來的地基調查技術，以及在焦熱海灣建設隧道和升降機的精細施工方法，都在這裡得到了充分的利用！
25,[第9期],宇宙飛船延伸至膠囊深淵底部,我們終於成功地將宇宙飛船延伸到了膠囊深淵的底部！<hex:02100103><hex:02100103>實際上，曾有人說將宇宙飛船延伸到這個不穩定的玻璃球堆疊的地方，難度會非常高。<hex:02100103>因為鋪設宇宙飛船需要對兩個據點之間的部件進行配對，並設定精確的坐標。<hex:02100103>但是，通過充分利用以往的經驗，我們慎重地判斷了玻璃球和堆積物的平衡，最終成功地在穩定的位置建成了據點！<hex:02100103><hex:02100103>在這一難關中延伸作業的成功，將成為我們的自信！
26,[第10期],玻璃工坊基地的進一步充實,在大家的協助下，玻璃工坊基地完成了改建，已經成了非常舒適的據點了。<hex:02100103><hex:02100103>這可以說是在仔細計算洞窟形狀後，慎重配置設施的結果。<hex:02100103>不僅僅是簡單地排列設施，從漫遊車和無人機的移動路徑，到配線和配管，需要考慮的事情堆積如山！<hex:02100103>我聽到了很多參與這項計劃的技術人員們帶著驕傲的抱怨！<hex:02100103><hex:02100103>這座基地還有一個重大的建設計劃，是為了讓我們的探索能夠繼續向前……但完工之日還遙遙無期。<hex:02100103>大家要繼續努力哦！
27,[第11期],漫遊車機庫的進一步功能強化,基地內的設施正在逐步安裝使用這顆佩恩納星球上產出的玻璃資源製成的牆壁。<hex:02100103>現在，漫遊車機庫也完成了更換！<hex:02100103><hex:02100103>這種新式建材不僅比鋼板還要堅固，裝飾性也非常美觀，而且還能將太陽光轉換成雷電能量，簡直是萬能的！<hex:02100103>聽說它是由我們從亞伊太利斯邀請來的玻璃工藝專家和技術人員們，集結最新技術共同開發的！<hex:02100103>這下，設施運行所需的雷電問題也將得到大幅改善吧！
28,[第12期],宇宙港的多功能化,我們的宇宙港，其功能得到了擴展！<hex:02100103><hex:02100103>今後，我們不僅能往返於焦熱海灣，還能進一步向宇宙深處旅行了。<hex:02100103>通過增設專用的發雷站，能量充能時間大幅縮短，單位時間內的物資運輸量也增加了！<hex:02100103><hex:02100103>乍看之下，在岩窟內的玻璃工坊基地起降風險很高，但通過設定詳細的起降路線，已經可以安全地進行自動駕駛了。<hex:02100103>當然，首次到達時，巡航員還是向我們展示了神乎其技的手動駕駛！
29,[第13期],巨型能源板的設定,這次竣工的巨型能源板，是支撐玻璃工坊基地能量運轉的關鍵設施！<hex:02100103><hex:02100103>雖然我們也有發雷設施能量站，但它利用的是乙太進行屬性轉換來產生雷電。<hex:02100103>而巨型能源板則是將佩恩納星球所在恆星系的陽光轉換為雷電能量。<hex:02100103><hex:02100103>基地內外運行著各種各樣的設備，雷電能量怎麼都不嫌多。<hex:02100103>但同時運行這兩座設施，我們就不必再進行極端的節約了！
30,[第14期],通過冷卻熔融玻璃擴大探索區域,在建設了作為無人機基地的「機動站」後，熔化道火口地帶的熔融玻璃冷卻作戰圓滿完成了！<hex:02100103><hex:02100103>佩恩納星球的地熱變化似乎非常劇烈，即使在平原地區也能看到偶爾形成的火山口。<hex:02100103>熔化道火口就是其中之一，我們在避免對星球環境造成負面影響的前提下，進行了一次實驗性的冷卻作戰。<hex:02100103><hex:02100103>在大家的協助下，我們成功地安全擴大了探索區域！<hex:02100103>通紅的熔融玻璃冷卻凝固後，變成了與蘇打石灰漂流一樣清澈的水藍色玻璃。<hex:02100103>一旦冷卻凝固，之後只需要使用無人機從空中投下冷卻材料，就可以維持玻璃的狀態，實現自由探索。<hex:02100103>在這個區域，我們應該能夠對這顆星球的地質形成進行重要的調查！
31,[第15期],宇宙飛船延伸至熔融玻璃地帶,宇宙飛船延伸至熔化道火口地帶的內周部分了！<hex:02100103>這下，我們就可以輕鬆移動到探索計劃中的所有區域了！<hex:02100103><hex:02100103>在這次據點設定中，我們重新利用了上次熔融玻璃冷卻作戰中使用的無人機，進行了徹底的地基加固。<hex:02100103>雖然每個設備都只是一個小小的部分，但這正凝聚了我們技術的結晶，形成了一張交通網路！
32,[第16期],佩恩納星體望遠鏡竣工,真是難以置信，我們玻璃工坊基地竟然完成了一座可以仰望星空的大型天體望遠鏡！<hex:02100103><hex:02100103>「佩恩納星體望遠鏡」不僅能觀測遙遠星球的形態，還能推測出那些星球所環繞的天脈的濃度。<hex:02100103>為了實現我們宇宙探險計劃機構的目標，即發現智慧生命體或未知文明的痕跡，天文學專家們已經開始著手從宇宙的各個方向進行觀測和分析了！<hex:02100103><hex:02100103>佩恩納星球上的計劃，也隨著這座利用當地資源建造的最終目標物——天體望遠鏡的竣工而宣告完成。<hex:02100103>在這顆星球上，也多謝大家的大力協助！
33,[第17期],窺視閃耀的星星,這次計劃中的所有設施也都完成了，銀河號宇宙飛船正靜靜等待著佩恩納星體望遠鏡映出新的星球。<hex:02100103><hex:02100103>想來，為了未來的探索計劃，我們需要一座巨大的觀測機構，而我們最初拜訪的就是這顆玻璃星球佩恩納，這真是幸運至極。<hex:02100103>作為天體望遠鏡之眼的精密透鏡，經過精煉和研磨，如今正向著遙遠的宇宙彼方投去熾熱的目光。<hex:02100103><hex:02100103>從亞伊太利斯星系邁出第一步，經過在這顆星球上的活動，我們才真正成為了星外探索團吧？<hex:02100103>我們前進的道路還很長！<hex:02100103>就讓我們繼續朝著仰望的星辰，踏上未完待續的旅程吧！
